date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:36:17	590/590	---M--	200	added ('OK')	text/plain	etag:W/%2224e-M6yJ4ZW0vrMk/3tfCevbgBhC880%22	https://sweetchild00008.wixsite.com/robots.txt		(from )
16:36:18	491971/491971	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jun%202020%2008:37:05%20GMT	https://sweetchild00008.wixsite.com/mysite	C:/My%20Web%20Sites/warren/sweetchild00008.wixsite.com/mysite.html	(from )
16:36:18	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jun%202020%2008:37:08%20GMT	https://sweetchild00008.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/warren/sweetchild00008.wixsite.com/sitemap.xml	(from https://sweetchild00008.wixsite.com/mysite)
16:36:19	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jun%202020%2008:37:08%20GMT	https://sweetchild00008.wixsite.com/feed.xml	C:/My%20Web%20Sites/warren/sweetchild00008.wixsite.com/feed.xml	(from https://sweetchild00008.wixsite.com/mysite)
16:36:19	72170/72170	---M-Z	200	added ('OK')	application/javascript	etag:%22c9af8a10b26de38db0c63a58fa9596f7%22	https://browser.sentry-cdn.com/4.6.2/bundle.min.js	C:/My%20Web%20Sites/warren/browser.sentry-cdn.com/4.6.2/bundle.min.js	(from https://sweetchild00008.wixsite.com/mysite)
16:36:20	137771/137771	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/warren/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://sweetchild00008.wixsite.com/mysite)
16:36:20	14805/14805	---M-Z	200	added ('OK')	application/javascript	etag:W/%22456c02ee2a496580a24e5aee614ba9b3%22	https://static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	C:/My%20Web%20Sites/warren/static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	(from https://sweetchild00008.wixsite.com/mysite)
16:36:21	104998/104998	---MCZ	200	added ('OK')	application/javascript	etag:W/%22949ba62b42721d4404624a148729bcd1%22	https://static.parastorage.com/services/wix-bolt/1.6101.0/bolt-main/app/bolt-custom-elements.min.js	C:/My%20Web%20Sites/warren/static.parastorage.com/services/wix-bolt/1.6101.0/bolt-main/app/bolt-custom-elements.min.js	(from https://sweetchild00008.wixsite.com/mysite)
16:36:21	17493/17493	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218823f6a6d208ee1e361bb266ab794d5%22	https://static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	C:/My%20Web%20Sites/warren/static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	(from https://sweetchild00008.wixsite.com/mysite)
16:36:22	1525/1525	---M--	200	added ('OK')	image/png	etag:%223c6917fb33e1253998115aa201c321c3%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	C:/My%20Web%20Sites/warren/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	(from https://sweetchild00008.wixsite.com/mysite)
16:36:23	1522/1522	---M--	200	added ('OK')	image/png	etag:%22b99ad060add6edf8dcabf85de74182b0%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	C:/My%20Web%20Sites/warren/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	(from https://sweetchild00008.wixsite.com/mysite)
16:36:24	730133/730133	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b6df102c95bd9f87ea8b3555db68eccb%22	https://sweetchild00008.wixsite.com/_partials/wix-bolt/1.6101.0/node_modules/viewer-platform-worker/dist/wixcode-worker.js	C:/My%20Web%20Sites/warren/sweetchild00008.wixsite.com/_partials/wix-bolt/1.6101.0/node_modules/viewer-platform-worker/dist/wixcode-worker.js	(from https://sweetchild00008.wixsite.com/mysite)
16:36:25	402460/402460	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jun%202020%2008:37:13%20GMT	https://sweetchild00008.wixsite.com/mysite/resume	C:/My%20Web%20Sites/warren/sweetchild00008.wixsite.com/mysite/resume.html	(from https://sweetchild00008.wixsite.com/mysite)
16:36:25	4297/4297	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Jun%202020%2008:37:14%20GMT	https://static.wixstatic.com/media/569837_53702f273bcc462987c4319526f7ab2e~mv2.jpg/v1/fill/w_181,h_136,al_c,q_80,usm_0.66_1.00_0.01,blur_2/16880787_341443739589874_1518552011_o_34.jpg	C:/My%20Web%20Sites/warren/static.wixstatic.com/media/569837_53702f273bcc462987c4319526f7ab2e_mv2.jpg/v1/fill/w_181,h_136,al_c,q_80,usm_0.66_1.00_0.01,blur_2/16880787_341443739589874_1518552011_o_34.jpg	(from https://sweetchild00008.wixsite.com/mysite)
